lx,report_date,report_time,reporter_name,reporter_phone,report_type,incident_location,incidenet_location_specific,incident_location_province,summary,investigator,case_status,note
2568-050,2025-02-28,11:00 น.,นายบุญช่วย กำลังใจ,061-333-4444,อุบัติเหตุจราจร,ถนนพหลโยธิน ซอย 32,เขตจตุจักร,กรุงเทพ,เมื่อวันที่ 2025-02-28 เวลา 10:50 น. รถยนต์ของนายบุญช่วยถูกรถเก๋งที่ขับเปลี่ยนเลนกะทันหันพุ่งชนด้านข้างอย่างจัง ทำให้รถทั้งสองได้รับความเสียหาย นายบุญช่วยได้รับบาดเจ็บเล็กน้อยจากแรงกระแทก,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รอผลการสอบสวนเพิ่มเติมจากพนักงานสอบสวน
2568-052,2025-02-28,14:00 น.,บริษัท ซอฟต์แวร์ดีเวลลอปเมนท์ จำกัด (โดยนายสมชาย ผู้จัดการ),02-890-1234,คอมพิวเตอร์,สำนักงานบริษัท ย่านอโศก,เขตวัฒนา,กรุงเทพ,"เมื่อวันที่ 2025-02-27 ระบบคอมพิวเตอร์ของบริษัทถูกแฮกเกอร์โจมตี ทำให้ข้อมูลลูกค้ากว่า 20,000 รายการถูกขโมยไป และระบบบางส่วนถูกเข้ารหัสเรียกค่าไถ่เป็นจำนวนมาก",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับกองบังคับการปราบปรามการกระทำความผิดเกี่ยวกับอาชญากรรมทางเทคโนโลยี (ปอท.) เพื่อกู้คืนระบบและติดตามผู้กระทำผิด
2568-053,2025-03-01,18:20 น.,นายธนากร เลิศลบ,063-000-1111,ทำร้ายร่างกาย,ลานจอดรถสวนสาธารณะแห่งหนึ่งในกรุงเทพฯ,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-03-01 เวลา 18:10 น. นายธนากรถูกชายไม่ทราบชื่อ (ประมาณ 2 คน) เข้ามาทำร้ายร่างกายด้วยการชกต่อยและเตะ หลังจากการวิ่งออกกำลังกาย โดยไม่ทราบสาเหตุ นายธนากรได้รับบาดเจ็บฟกช้ำตามใบหน้าและแขน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดบริเวณทางเข้าออกสวนสาธารณะและสอบปากคำพยานที่อาจเห็นเหตุการณ์
2568-055,2025-03-01,14:00 น.,นางสาวรัตนาพร รุ่งเรือง,090-234-5678,ค้ามนุษย์,สถานีขนส่งผู้โดยสารกรุงเทพฯ (หมอชิต),เขตจตุจักร,กรุงเทพ,เมื่อวันที่ 2025-02-28 นางสาวรัตนาพรแจ้งว่าบุตรชาย (อายุ 17 ปี) ถูกกลุ่มบุคคลชักชวนให้ไปทำงานเป็นเด็กเสิร์ฟในร้านอาหารต่างประเทศ แต่มีพฤติกรรมน่าสงสัยว่าอาจถูกบังคับค้าประเวณี,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ประสานงานกับหน่วยงานที่เกี่ยวข้องเพื่อช่วยเหลือเหยื่อและติดตามตัวผู้กระทำผิด
2568-056,2025-03-01,14:00 น.,นายสมศักดิ์ ชัยชนะ,081-123-4567,ทะเลาะวิวาท,"ร้านอาหาร ""ครัวคุณยาย"" ซอยเอกมัย 12",เขตวัฒนา,กรุงเทพ,เมื่อวันที่ 2025-02-28 เวลาประมาณ 20:30 น. นายสมศักดิ์มีปากเสียงกับลูกค้าชายคนหนึ่ง (ไม่ทราบชื่อ) เรื่องการเสิร์ฟอาหารไม่ตรงตามสั่ง การโต้เถียงบานปลายจนมีการปะทะคารมอย่างรุนแรง ทำให้ลูกค้าคนดังกล่าวลุกขึ้นมาทุบโต๊ะและขว้างปาจานแตกหลายใบ,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดในร้านและสอบปากคำพยาน
2568-057,2025-03-02,18:00 น.,นายสุเทพ บุญมี,090-999-0000,ฆาตกรรม,บ้านพัก ซอยรามคำแหง 24,เขตบางกะปิ,กรุงเทพ,เมื่อวันที่ 2025-03-01 เวลาประมาณ 20:00 น. นายสุเทพพบศพภรรยาของตนเองนอนเสียชีวิตอยู่ภายในห้องนอน มีร่องรอยการถูกบีบคอ คาดว่าเสียชีวิตมาแล้วไม่ต่ำกว่า 10 ชั่วโมง เจ้าหน้าที่ตำรวจเข้าตรวจสอบที่เกิดเหตุ,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ส่งศพชันสูตรเพื่อหาสาเหตุการเสียชีวิตและเก็บหลักฐานในที่เกิดเหตุ
2568-058,2025-03-03,11:40 น.,นางสาวรัชนี วันดี,063-345-6789,ของหาย,ป้ายรถเมล์หน้าโรงพยาบาลพระมงกุฎเกล้า,เขตราชเทวี,กรุงเทพ,"เมื่อวันที่ 2025-03-03 เวลาประมาณ 11:30 น. นางสาวรัชนีทำกระเป๋าสตางค์สีแดงหายขณะรอรถเมล์ ภายในมีบัตรประชาชน, บัตร ATM, และเงินสดประมาณ 2,000 บาท เธอได้เดินหาบริเวณดังกล่าวแล้วแต่ไม่พบ",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ประสานหน่วยงานที่ดูแลกล้องวงจรปิดในพื้นที่
2568-059,2025-03-05,14:30 น.,กรมสอบสวนคดีพิเศษ (DSI),02-123-4567,ค้ามนุษย์,โรงงานร้างแห่งหนึ่งในจังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,เมื่อวันที่ 2025-03-04 เจ้าหน้าที่ DSI เข้าตรวจค้นโรงงานร้าง พบแรงงานต่างด้าวจำนวน 15 คน ถูกกักขังและบังคับใช้แรงงานโดยไม่ได้รับค่าจ้างตามกฎหมาย และถูกยึดเอกสารประจำตัวไว้ทั้งหมด มีผู้ต้องสงสัยเป็นนายหน้าชาวไทย 2 คน,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ช่วยเหลือเหยื่อและรวบรวมพยานหลักฐานเพื่อดำเนินคดีกับผู้กระทำผิด
2568-061,2025-03-05,09:30 น.,นางสาวดวงพร มีชัย,088-444-5555,ฉ้อโกง,ธนาคารกรุงเทพ สาขาสยามสแควร์,เขตปทุมวัน,กรุงเทพ,"เมื่อวันที่ 2025-03-04 นางสาวดวงพรถูกมิจฉาชีพหลอกให้ติดตั้งแอปพลิเคชันปลอมของธนาคาร ทำให้ข้อมูลบัญชีและรหัสผ่านถูกขโมยไป และเงินในบัญชีถูกถอนออกไป 250,000 บาท",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,อายัดบัญชีปลายทางและรวบรวมหลักฐานทางดิจิทัล
2568-062,2025-03-05,10:00 น.,นางสาวกนกพร มีชัย,081-567-8901,อุบัติเหตุจราจร,ถนนรัชดาภิเษก (ขาเข้า),ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-03-05 เวลา 09:45 น. รถยนต์ของนางสาวกนกพรถูกรถจักรยานยนต์ตัดหน้ากะทันหัน ทำให้เฉี่ยวชนกันเล็กน้อย รถจักรยานยนต์ล้ม คนขับบาดเจ็บเล็กน้อย นางสาวกนกพรจอดรถลงมาช่วยเหลือและเรียกประกัน,ร.ต.อ.วิชาญ ชัยชนะ,ยุติการสอบสวน,คู่กรณีตกลงไม่ติดใจเอาความหลังตกลงค่าเสียหายแล้ว
2568-064,2025-03-05,09:00 น.,บริษัท โชคดีขนส่ง จำกัด (โดยนายบัญชา ผู้นำ),02-888-9999,ลักทรัพย์,โกดังเก็บสินค้า ถนนบางนา-ตราด กม.10,จังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,"เมื่อวันที่ 2025-03-05 เวลาประมาณ 08:30 น. พนักงานของบริษัท โชคดีขนส่ง จำกัด ได้ตรวจพบว่าพัสดุจำนวน 20 กล่อง ซึ่งบรรจุสินค้าอิเล็กทรอนิกส์ (หูฟังไร้สายยี่ห้อดัง) มูลค่ารวมประมาณ 150,000 บาท ได้หายไปจากโกดังเก็บสินค้า พัสดุดังกล่าวเตรียมรอการจัดส่งให้กับลูกค้า แต่เมื่อตรวจสอบพบว่าจำนวนไม่ตรงตามบันทึกการรับเข้า และมีร่องรอยการงัดแงะที่ประตูหลังโกดังเล็กน้อย คาดว่าถูกลักไปในช่วงกลางคืน",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,"ตรวจสอบบันทึกการเข้าออกโกดัง, กล้องวงจรปิด, และสอบปากคำพนักงานที่เกี่ยวข้อง"
2568-065,2025-03-07,10:00 น.,นายประทีป อรุณ,086-678-9012,ฉ้อโกง,ตลาดสดมหานาค,เขตดุสิต,กรุงเทพ,"เมื่อวันที่ 2025-03-06 นายประทีปถูกหญิงสูงอายุคนหนึ่งหลอกขายพระเครื่องปลอม โดยอ้างว่าเป็นพระเครื่องเก่าแก่หายาก มีพุทธคุณสูง และเรียกร้องเงินสูงถึง 50,000 บาท เมื่อนำพระเครื่องไปตรวจสอบกับผู้เชี่ยวชาญจึงพบว่าเป็นของเก๊",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,สอบปากคำพยานและตรวจสอบกล้องวงจรปิดในบริเวณตลาด
2568-066,2025-03-08,08:15 น.,นายชูชีพ เกิดใหม่,063-444-5555,ลักทรัพย์,ร้านทองเยาวราช ถนนเยาวราช,เขตสัมพันธวงศ์,กรุงเทพ,เมื่อวันที่ 2025-03-08 เวลา 08:05 น. ชายคนหนึ่งวิ่งราวสร้อยคอทองคำหนัก 2 บาท จากหน้าร้านทองไปต่อหน้าพนักงานขาย นายชูชีพซึ่งเป็นเจ้าของร้านได้พยายามวิ่งตามแต่ไม่ทัน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดหน้าร้านและเส้นทางหลบหนี
2568-068,2025-03-08,08:30 น.,นางประภาศรี สุขสบาย,063-777-8888,ลักทรัพย์,"ร้านทอง ""ทองเยาวราช"" ย่านบางลำพู",เขตพระนคร,กรุงเทพ,เมื่อวันที่ 2025-03-08 เวลา 08:20 น. ชายคนหนึ่งวิ่งราวสร้อยคอทองคำหนัก 2 บาท จากหน้าร้านทองไปต่อหน้าพนักงานขาย นางประภาศรีซึ่งเป็นเจ้าของร้านได้พยายามวิ่งตามแต่ไม่ทัน,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดหน้าร้านและเส้นทางหลบหนี
2568-069,2025-03-10,09:15 น.,นายสมคิด ตั้งใจ,063-345-6789,ลักทรัพย์,บ้านเลขที่ 88/11 หมู่บ้านประภัสสร,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อวันที่ 2025-03-09 เวลาประมาณ 02:00 น. นายสมคิดตื่นขึ้นมาได้ยินเสียงแปลกๆ ที่ชั้นล่าง เมื่อลงมาตรวจสอบพบว่าประตูหลังบ้านถูกงัดแงะ และจักรยานเสือภูเขายี่ห้อ Giant มูลค่า 35,000 บาท ที่จอดอยู่ในโรงจอดรถได้หายไป คาดว่าคนร้ายเข้ามาทางประตูหลังบ้านแล้วขนจักรยานออกไป",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดในหมู่บ้านและบริเวณใกล้เคียง
2568-070,2025-03-10,08:30 น.,นายสุรศักดิ์ ใจดี,063-111-2222,อุบัติเหตุจราจร,ถนนพหลโยธิน (ขาออก),ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-03-10 เวลา 08:15 น. รถยนต์ของนายสุรศักดิ์ถูกรถกระบะที่ขับตามหลังมาชนท้ายอย่างแรง ทำให้รถยนต์ของเขาได้รับความเสียหายที่ท้ายรถอย่างมาก ไม่มีผู้บาดเจ็บรุนแรง,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รอผลการเจรจาค่าเสียหายจากบริษัทประกันภัย
2568-071,2025-03-10,14:30 น.,ป.ป.ส.,02-111-2222,ยาเสพติด,โกดังร้างแห่งหนึ่งในจังหวัดนนทบุรี,จังหวัดนนทบุรี,จังหวัดนนทบุรี,เมื่อวันที่ 2025-03-09 เจ้าหน้าที่ ป.ป.ส. เข้าตรวจค้นโกดังร้าง พบเฮโรอีนจำนวน 20 กิโลกรัม ซุกซ่อนในกระสอบปุ๋ย และเครื่องอัดบรรจุยาเสพติด ผู้ต้องหาชาย 3 ราย ถูกจับกุมในที่เกิดเหตุ,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ขยายผลและติดตามเครือข่ายยาเสพติดรายใหญ่
2568-072,2025-03-12,10:40 น.,นายบุญส่ง เกิดผล,061-666-7777,อุบัติเหตุจราจร,ถนนพหลโยธิน ซอย 5,เขตพญาไท,กรุงเทพ,เมื่อวันที่ 2025-03-12 เวลา 10:30 น. นายบุญส่งขับรถยนต์ถูกรถจักรยานยนต์ที่ขับมาจากซอยชนบริเวณด้านข้าง คนขับจักรยานยนต์บาดเจ็บเล็กน้อย รถทั้งสองคันได้รับความเสียหายเล็กน้อย,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,รอผลการเจรจาค่าเสียหายจากประกัน
2568-073,2025-03-15,16:20 น.,นายศักดิ์ชัย มั่นคง,092-222-3333,อุบัติเหตุจราจร,ถนนวิภาวดีรังสิต ขาเข้า (ใกล้แยกสุทธิสาร),เขตพญาไท,กรุงเทพ,เมื่อวันที่ 2025-03-15 เวลาประมาณ 16:00 น. รถยนต์ของนายศักดิ์ชัยถูกรถแท็กซี่ที่ขับตามมาชนท้ายอย่างจัง เนื่องจากแท็กซี่ขับขี่มาด้วยความเร็วสูงและเบรกไม่ทัน รถทั้งสองคันได้รับความเสียหายเล็กน้อยถึงปานกลาง ไม่มีผู้บาดเจ็บรุนแรง,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รอผลการเจรจาค่าเสียหายจากบริษัทประกันภัย
2568-074,2025-03-15,14:00 น.,กองบังคับการตำรวจนครบาล,02-000-1111,ยาเสพติด,ชุมชนแออัดแห่งหนึ่งในเขตห้วยขวาง,เขตห้วยขวาง,กรุงเทพ,"เมื่อวันที่ 2025-03-14 เจ้าหน้าที่ตำรวจเข้าตรวจค้นชุมชนแออัด พบแหล่งมั่วสุมยาเสพติดและยาบ้าจำนวน 20,000 เม็ด พร้อมจับกุมผู้เสพและผู้ค้ารายย่อยได้หลายราย",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ขยายผลและติดตามเครือข่ายยาเสพติดในชุมชน
2568-075,2025-03-18,15:00 น.,นายสุชาติ พลเมืองดี,090-777-8888,ฆาตกรรม,บ้านร้างท้ายซอยสุขุมวิท 101,เขตบางนา,กรุงเทพ,เมื่อวันที่ 2025-03-17 เวลาประมาณ 17:00 น. ชาวบ้านพบศพชายไม่ทราบชื่อถูกทิ้งไว้ในบ้านร้าง มีร่องรอยการถูกทำร้ายร่างกายอย่างรุนแรง และมีบาดแผลฉกรรจ์ที่ศีรษะ,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ส่งศพชันสูตรและเก็บหลักฐานในที่เกิดเหตุเพื่อระบุตัวผู้เสียชีวิตและคนร้าย
2568-076,2025-03-20,15:30 น.,กองบังคับการสืบสวนสอบสวนอาชญากรรมทางเทคโนโลยี (บช.สอท.),02-777-8888,ยาเสพติด,สำนักงาน บช.สอท.,จังหวัดนนทบุรี,จังหวัดนนทบุรี,เมื่อวันที่ 2025-03-19 เจ้าหน้าที่ บช.สอท. ตรวจพบการลักลอบจำหน่ายยาเสพติดผ่านแพลตฟอร์มออนไลน์ โดยมีการใช้สกุลเงินดิจิทัลในการซื้อขาย,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานทางดิจิทัลและติดตามตัวผู้กระทำผิด
2568-077,2025-03-20,10:00 น.,นายตำรวจ (ไม่ประสงค์ออกนาม),-,อาวุธปืน,ด่านตรวจท่าเรือคลองเตย,เขตคลองเตย,กรุงเทพ,เมื่อวันที่ 2025-03-20 เวลา 09:30 น. เจ้าหน้าที่ประจำด่านตรวจพบอาวุธปืนพกสั้นไม่ได้รับอนุญาต จำนวน 5 กระบอก ซุกซ่อนในเรือประมง ผู้ต้องหา 2 ราย ถูกจับกุม,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบประวัติอาชญากรรมของผู้ต้องหาและแหล่งที่มาของอาวุธปืน
2568-078,2025-03-25,11:15 น.,นางสาวอุษา รุ่งอรุณ,090-555-6666,ฉ้อโกง,ตลาดสดปากน้ำ,จังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,"เมื่อวันที่ 2025-03-24 นางสาวอุษาถูกหญิงสูงอายุคนหนึ่งหลอกขายสินค้าสมุนไพรปลอม โดยอ้างสรรพคุณเกินจริงและเรียกเก็บเงินในราคาสูงถึง 10,000 บาท เมื่อนำสมุนไพรไปให้ผู้เชี่ยวชาญตรวจสอบจึงทราบว่าเป็นของปลอม",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,สอบปากคำพยานแม่ค้าในตลาดและตรวจสอบกล้องวงจรปิดบริเวณแผงขายของ
2568-079,2025-03-25,10:00 น.,นายวิวัฒน์ เจริญสุข,092-333-4444,บัญชีม้า,บ้านพัก ซอยรามอินทรา 40,เขตบึงกุ่ม,กรุงเทพ,"เมื่อวันที่ 2025-03-22 นายวิวัฒน์ถูกมิจฉาชีพโทรศัพท์มาหลอกว่าได้รับเงินรางวัลจากต่างประเทศ และให้โอนเงินค่าธรรมเนียมเพื่อรับรางวัล เขาหลงเชื่อและโอนเงินไป 50,000 บาท แต่ไม่ได้รับเงินรางวัลตามที่อ้าง",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานการโทรศัพท์และสลิปการโอนเงิน
2568-080,2025-03-25,10:00 น.,นายประเสริฐ สุขสบาย,087-345-6789,ลักทรัพย์,"ร้านทอง ""ทองแท้"" ย่านบางกะปิ",เขตบางกะปิ,กรุงเทพ,เมื่อวันที่ 2025-03-25 เวลา 09:45 น. ชายคนหนึ่งวิ่งราวสร้อยคอทองคำหนัก 5 บาท จากหน้าร้านทองไปต่อหน้าพนักงานขาย นายประเสริฐซึ่งเป็นเจ้าของร้านได้พยายามวิ่งตามแต่ไม่ทัน,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดหน้าร้านและเส้นทางหลบหนี
2568-081,2025-03-30,13:00 น.,นายมานพ เที่ยงตรง,061-111-2222,บัญชีม้า,สถาบันสอนภาษาแห่งหนึ่ง ย่านสามย่าน,เขตปทุมวัน,กรุงเทพ,"เมื่อวันที่ 2025-03-28 นายมานพถูกเพื่อนร่วมงาน (นายวิรัช) หลอกให้ร่วมลงทุนในธุรกิจซื้อขายสกุลเงินดิจิทัล โดยอ้างว่าจะได้รับผลตอบแทนสูง แต่เมื่อโอนเงินไป 200,000 บาทแล้ว นายวิรัชก็ขาดการติดต่อไป",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานการสนทนาและสลิปการโอนเงิน
2568-082,2025-04-01,09:45 น.,นางสาวแพรวพรรณรายณ์ วิจิตร,063-444-5555,บัญชีม้า,"คลินิกทันตกรรม ""ยิ้มสวย"" สุขุมวิท 49",เขตวัฒนา,กรุงเทพ,"เมื่อวันที่ 2025-03-28 นางสาวแพรวพรรณรายณ์ถูกมิจฉาชีพโทรศัพท์มาหลอกว่าเป็นเจ้าหน้าที่กรมที่ดิน อ้างว่าที่ดินของเธอมีปัญหาและต้องโอนเงินค่าธรรมเนียมเพื่อดำเนินการแก้ไข เธอหลงเชื่อและโอนเงินไป 25,000 บาท ก่อนจะทราบภายหลังว่าเป็นแก๊งคอลเซ็นเตอร์",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,รวบรวมสลิปการโอนเงินและบันทึกการโทรศัพท์
2568-083,2025-04-01,08:00 น.,นางสาวนงลักษณ์ สุขุม,063-444-5555,แจ้งความเท็จ,โรงเรียนอนุบาลแห่งหนึ่งในกรุงเทพฯ,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,นางสาวนงลักษณ์ซึ่งเป็นครูประจำชั้น มาแจ้งความว่าถูกผู้ปกครองนักเรียน (นางสมศรี) แจ้งความเท็จเรื่องการลงโทษนักเรียนเกินกว่าเหตุ ซึ่งไม่เป็นความจริง ทำให้เธอได้รับความเสียหายและเสียชื่อเสียง,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,สอบปากคำนักเรียนและผู้ปกครองที่เกี่ยวข้อง พร้อมตรวจสอบพยานหลักฐานจากกล้องวงจรปิดของโรงเรียน
2568-084,2025-04-02,11:30 น.,ป.ป.ส.,02-555-6666,ยาเสพติด,อาคารพาณิชย์แห่งหนึ่ง ย่านบางซื่อ,เขตบางซื่อ,กรุงเทพ,"เมื่อวันที่ 2025-04-01 เจ้าหน้าที่ ป.ป.ส. เข้าตรวจค้นอาคารพาณิชย์ พบยาบ้าจำนวน 100,000 เม็ด และยาไอซ์ 5 กิโลกรัม พร้อมอุปกรณ์การเสพและบรรจุภัณฑ์ ผู้ต้องหาชาย 1 ราย ถูกจับกุมในที่เกิดเหตุ",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ขยายผลและติดตามเครือข่ายยาเสพติด
2568-085,2025-04-03,09:20 น.,นางสาวเมตตา ดีงาม,088-777-8888,แจ้งความเท็จ,โรงเรียนประถมแห่งหนึ่งในกรุงเทพฯ,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,นางสาวเมตตาซึ่งเป็นคุณครู มาแจ้งความว่าถูกผู้ปกครองนักเรียน (นายดำรงค์) แจ้งความเท็จเรื่องการทำร้ายร่างกายนักเรียน ซึ่งไม่เป็นความจริง ทำให้เธอได้รับความเสียหายและเสียชื่อเสียง,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,สอบปากคำนักเรียนและผู้ปกครองที่เกี่ยวข้อง พร้อมตรวจสอบพยานหลักฐานจากกล้องวงจรปิดของโรงเรียน
2568-086,2025-04-05,09:30 น.,นางประนอม ศรีสวัสดิ์,089-901-2345,แจ้งความเท็จ,บ้านพักริมน้ำ ซอยวัดอุโมงค์ เชียงใหม่,จังหวัดเชียงใหม่,จังหวัดเชียงใหม่,นางประนอมมาแจ้งความว่าถูกเพื่อนบ้าน (นายดำรงค์) ใส่ร้ายป้ายสีว่าลักลอบทิ้งขยะลงแม่น้ำ ทั้งที่นางประนอมปฏิบัติตามกฎระเบียบอย่างเคร่งครัด การกระทำของนายดำรงค์ทำให้เธอได้รับความเสียหายทางชื่อเสียงในชุมชน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,สอบปากคำพยานในพื้นที่ และตรวจสอบข้อมูลจากเทศบาลเรื่องการจัดการขยะ
2568-087,2025-04-05,09:10 น.,นางปราณี สงบ,088-222-3333,แจ้งความเท็จ,บ้านพัก หมู่บ้านพฤกษาวิลเลจ ถนนกาญจนาภิเษก,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,นางปราณีมาแจ้งความว่าถูกเพื่อนบ้าน (นายดำ) แจ้งความเท็จเรื่องการร้องเรียนเสียงดังรบกวนจากสุนัขของตนเอง ทั้งที่เธอได้พยายามควบคุมและดูแลสุนัขอย่างดีที่สุด และเกรงว่าจะถูกกลั่นแกล้ง,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,สอบปากคำคู่กรณีทั้งสองฝ่ายและพยานในพื้นที่
2568-088,2025-04-05,10:00 น.,นางสาววันดี มีสุข,087-888-9999,บัญชีม้า,บ้านพัก ซอยเพชรเกษม 90,เขตบางแค,กรุงเทพ,"เมื่อวันที่ 2025-04-03 นางสาววันดีถูกแก๊งคอลเซ็นเตอร์หลอกว่าบัญชีธนาคารมีปัญหาและต้องโอนเงินเพื่อแก้ไข เธอหลงเชื่อและโอนเงินไป 120,000 บาท",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,อายัดบัญชีปลายทางและรวบรวมหลักฐานการสนทนา
2568-089,2025-04-05,14:00 น.,ป.ป.ส.,02-123-4567,ยาเสพติด,อพาร์ตเมนต์แห่งหนึ่ง ย่านบางแค,เขตบางแค,กรุงเทพ,"เมื่อวันที่ 2025-04-04 เจ้าหน้าที่ ป.ป.ส. เข้าตรวจค้นอพาร์ตเมนต์ พบยาบ้าจำนวน 200,000 เม็ด และยาไอซ์ 10 กิโลกรัม พร้อมอุปกรณ์การเสพและบรรจุภัณฑ์ ผู้ต้องหาชาย 2 ราย ถูกจับกุมในที่เกิดเหตุ",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ขยายผลและติดตามเครือข่ายยาเสพติดรายใหญ่
2568-090,2025-04-05,09:00 น.,นายตำรวจ (ไม่ประสงค์ออกนาม),-,อาวุธปืน,ด่านตรวจชายแดน อ.แม่สอด จ.ตาก,จังหวัดตาก,จังหวัดตาก,เมื่อวันที่ 2025-04-05 เวลา 08:30 น. เจ้าหน้าที่ประจำด่านตรวจชายแดนพบอาวุธปืนสงคราม (AK-47) จำนวน 2 กระบอก และเครื่องกระสุนจำนวนมาก ซุกซ่อนในรถบรรทุกสินค้าที่กำลังจะข้ามแดน ผู้ขับขี่ถูกจับกุม,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบประวัติอาชญากรรมของผู้ต้องหาและแหล่งที่มาของอาวุธปืน
2568-091,2025-04-05,10:30 น.,นางสาวมาลี รักษา,089-987-6543,ลักทรัพย์,บ้านเลขที่ 123 ถนนสุขุมวิท ซ.10,เขตคลองเตย,กรุงเทพ,"เมื่อวันที่ 2025-04-04 เวลาประมาณ 22:00 น. นางสาวมาลีปิดบ้านพักและออกไปทำธุระ เมื่อกลับมาถึงบ้านในวันที่ 2025-04-05 เวลา 09:00 น. พบว่าประตูหลังบ้านถูกงัดแงะ โน้ตบุ๊กยี่ห้อ Acer มูลค่าประมาณ 20,000 บาท และสร้อยคอทองคำหนัก 1 บาท ได้หายไป",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,คาดว่าคนร้ายบุกรุกช่วงกลางคืน ตรวจสอบลายนิ้วมือแฝง
2568-092,2025-04-08,09:00 น.,นายสมบัติ ช่างปืน,087-888-9999,อาวุธปืน,โรงงานผลิตชิ้นส่วนยานยนต์แห่งหนึ่งในจังหวัดชลบุรี,จังหวัดชลบุรี,จังหวัดชลบุรี,เมื่อวันที่ 2025-04-07 นายสมบัติซึ่งเป็นเจ้าของโรงงาน แจ้งว่ามีพนักงานบางคนลักลอบนำชิ้นส่วนมาประกอบเป็นอาวุธปืนเถื่อนภายในโรงงาน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบภายในโรงงานและสอบปากคำพนักงานที่เกี่ยวข้อง
